"id","species","catch"
31409903,5,1700
31409904,5,5000
31409905,5,3000
31409906,5,2500
31409907,5,2000
31409908,5,2000
31409909,5,1400
31409910,5,1800
31409911,5,1000
31409912,5,5000
31409913,5,2300
31409914,5,2800
31409926,5,6000
31409927,5,2000
31409928,5,1600
31409929,5,1600
31409930,5,500
31409931,5,4000
31409932,5,100
31409933,5,2000
32188282,1,625
32188282,2,7500
32188283,2,3125
32188284,1,625
32188284,2,5000
32188285,2,3750
33172063,5,1000
33172064,5,1000
33172065,5,2000
33172076,5,1000
33172077,5,3000
33172078,5,3000
33172079,5,3000
33172080,5,100
33172081,5,1500
33172082,5,4000
33172083,5,3000
33172084,5,1500
33172085,5,4000
33172086,5,2000
33172087,5,3000
33172088,5,100
33172089,5,2000
33172090,5,2000
33172101,5,2500
33172102,5,2000
33172103,5,1500
33172104,5,4000
33172105,5,2000
33172106,5,2500
33172107,5,1500
33172108,5,2500
33172109,5,2000
33172110,5,2000
33172111,5,2000
33172112,5,1500
33172113,5,2000
33528834,61,3000
33528835,61,6000
33528836,61,3600
33528837,61,2000
33528838,61,2000
33528839,61,2500
33528840,61,6000
33528851,61,3000
33528852,61,2000
33528853,61,1000
33528854,61,1500
33528855,61,5000
33528856,61,2000
33528857,61,2000
32816229,1,5000
32816230,1,22500
32816231,1,2500
32816232,1,3125
32816251,1,3125
32816252,1,2500
32816253,1,3750
32816254,1,1875
32816255,1,6250
32816256,1,3750
32816257,1,6250
32816258,1,1875
32825026,1,7500
32825027,1,15000
32825028,1,10000
32825029,1,5000
32825030,1,1875
32825031,1,5000
32825032,1,2500
32825051,1,3750
32825052,1,5000
32825053,1,5000
32825054,1,3125
32825055,1,3125
32825056,1,5000
32825057,1,7500
32825076,1,1250
32825077,1,625
32825078,1,2500
32825079,1,625
32825080,22,875
32825081,22,750
32825082,22,1875
32825101,22,2875
32825102,1,1250
32825103,1,5625
32825104,1,2500
32825105,1,7500
32825106,1,5000
32825126,1,7500
32825127,1,8750
32825128,1,5000
32825129,1,6250
32825130,2,1875
32825131,2,3750
32825132,2,5000
32825151,2,5000
32825152,2,5000
32825153,2,1250
32825154,2,2500
32825155,2,2500
32825156,2,1250
32825157,2,2500
32825176,1,5000
32825176,2,625
32825176,5,1000
32825177,1,3750
32825177,2,625
32825177,5,1000
32825178,1,3750
32825178,2,1250
32825179,1,3750
32825181,1,1250
32825182,1,1875
32825182,2,625
32825182,5,1500
32825201,1,2500
32825201,2,625
32825201,5,500
32825202,5,500
32825202,22,3125
32825203,5,1000
32825203,22,3750
32825205,5,500
32825205,22,2500
32825206,22,6250
32825207,22,1250
32825226,22,2500
32825226,5,500
32825228,22,625
32825229,22,2375
32825229,5,100
32825230,22,1500
32825230,5,100
32825232,22,875
32825253,22,1500
32825253,5,400
32825254,22,3000
32825254,5,2600
32825255,5,2000
32825257,1,1875
32825276,1,3750
32825277,1,3750
32825278,1,6250
32825279,1,5000
32825280,1,7500
32825281,1,5000
32825282,1,6250
32825301,1,6250
32825302,1,6250
32825303,1,12500
32825304,1,15000
32825305,1,7500
32825306,1,7500
33496289,5,2000
33496290,5,4000
33496301,5,2000
33496302,5,1000
33496304,1,1875
33496305,1,3500
33496305,2,625
33496305,3,625
33496306,1,625
33496306,3,625
33496307,5,1500
33496308,5,1000
33496309,2,625
33496326,3,1250
33496327,1,625
33496328,5,1500
33496328,3,625
33496329,5,6000
33496330,5,2000
33496331,5,2000
33496332,5,1500
33496333,5,3000
33496334,5,1000
33496335,5,5000
33496335,3,625
33496335,1,625
33496336,5,2000
33496336,3,625
33496336,1,625
33496337,5,3300
33496338,5,500
33496338,3,1250
33496339,5,1000
33496340,5,3000
33496351,5,1500
33496352,5,3000
33496353,5,6000
33496354,5,3000
33496355,5,1000
33496356,5,1000
33496357,5,2000
33496358,5,3000
33496359,5,3000
33496360,5,500
33496361,5,5000
33496362,5,500
33496363,5,1000
33496364,5,4000
33496365,5,4000
33496377,2,2500
33496377,1,2500
33496378,2,1250
33496378,3,2500
33496379,2,2500
33496379,1,1250
33496401,3,8750
33496402,5,500
33496403,5,3000
33496404,5,2000
33496405,5,3000
33496406,5,3000
33496407,5,4500
33496408,5,1000
33496409,5,4000
33496409,3,375
33496409,1,375
33496410,5,3000
33496411,5,3000
33496412,5,3000
33496413,5,1000
33496414,5,1500
33496415,5,1000
33496426,5,500
33496426,3,625
33496427,5,3000
33496428,5,500
33496429,5,500
33496430,5,2000
33496431,5,2000
33496432,5,400
33496432,1,250
33496432,2,1000
33496433,3,625
33496434,3,625
33496434,1,625
33496435,5,1000
33496436,5,2000
33496437,5,2000
33496438,5,5500
33496439,5,1500
33496440,5,1000
33496451,2,1250
33496451,1,625
33496452,2,1250
33496452,1,625
33496453,2,625
33496453,1,1250
33496476,2,625
33496477,1,1875
33496477,2,875
33496477,5,1000
33496478,1,625
33496478,2,875
33496478,5,2000
33496479,1,1000
33496479,2,750
33496479,5,300
33496480,1,1875
33496480,2,625
33496480,5,400
33496481,1,2500
33496481,2,1250
33496481,5,500
33496482,1,1250
33496482,2,1250
33496482,5,1500
33496483,2,1250
33496483,5,1000
33496484,1,63
33496484,2,1000
33496484,5,5000
33496485,1,875
33496485,2,1250
33496485,5,6000
33496486,5,7000
33496487,5,4000
33496488,5,3000
33496501,5,1500
33496502,5,800
33496503,5,4000
33496504,5,7000
33496505,5,9000
33496506,5,3500
33496507,5,2500
33496508,3,125
33496509,5,5000
33496509,2,1250
33496510,5,4000
33496510,2,625
33496511,5,4000
33496512,5,5000
33496513,5,4000
33496514,5,1600
1649860,1,375
1649860,2,2500
1649860,5,500
1649860,4,500
1649861,1,375
1649861,2,3375
1649861,5,400
1649862,1,188
1649862,2,2625
1649862,5,750
1649862,55,63
1649863,1,250
1649863,2,3000
1649863,5,1300
1649863,55,250
1649864,1,250
1649864,2,3125
1649864,5,1000
1649876,1,250
1649876,2,2063
1649876,5,100
1649877,2,875
1649877,5,300
1649877,3,375
1649878,1,63
1649878,2,500
1649878,5,500
1649878,3,188
1649879,2,188
1649879,5,450
1649880,2,625
1649880,5,200
1649881,1,188
1649881,2,813
1649882,1,375
1649882,2,500
1649883,1,125
1649883,2,1000
1649883,5,200
1649884,1,125
1649884,2,1125
1649884,5,100
1649885,2,750
1649886,1,313
1649886,2,250
1649886,5,200
1649886,55,125
1649887,2,1250
1649887,5,200
1649888,1,500
1649888,2,1625
1649888,5,300
1649888,55,313
1649889,1,1000
1649889,2,375
1649889,5,1100
1649889,55,125
1649889,6,250
1649901,2,1625
1649901,5,100
1649901,55,125
1649902,1,125
1649902,2,1750
1649902,55,125
1649903,1,125
1649903,2,1250
1649903,4,125
1649904,1,375
1649904,2,1500
1649904,5,1600
1649905,1,375
1649905,2,2250
1649905,5,800
1649906,1,63
1649906,2,2250
1649906,55,188
1649907,1,63
1649907,2,1250
1649908,1,125
1649908,2,2125
1649909,1,125
1649909,2,500
1649909,5,100
1649910,1,188
1649910,2,1000
1649910,5,50
1649911,1,188
1649911,2,875
1649911,5,4600
1649911,55,188
1649912,1,375
1649912,2,375
1649912,5,2300
1649913,1,500
1649913,2,1500
1649913,5,900
1649914,1,250
1649914,2,188
1649914,5,1000
1649914,55,125
31741276,22,3750
31741277,22,5000
31741278,22,1250
31741279,22,2000
31741279,5,1000
31741280,22,2500
31741281,22,3750
31741282,22,4375
31741283,22,5625
31741284,22,2500
31741285,22,3125
31892363,5,3000
31892364,5,4000
31892364,1,1250
31892365,5,3000
31892365,3,250
31892365,1,250
31892376,5,2000
31892376,3,625
31892376,2,625
31892377,5,4000
31892377,3,1250
31892377,2,625
31892378,5,2000
31892379,5,3000
31892380,5,2000
31892380,3,625
31892381,3,625
31892426,3,2500
31892427,5,10000
31892428,5,5000
31892429,5,1500
31892430,5,1000
31892431,3,3750
31892432,3,625
31892432,5,5000
31892433,5,2500
31892434,5,3000
31892436,5,500
31892437,5,3000
31892438,5,1500
31892439,3,2500
31892440,3,2500
31892451,5,2000
31892454,3,1250
31892455,3,3750
31892456,5,5000
31892457,5,3000
31892458,5,2000
31892459,5,500
31892459,3,1875
31892460,5,2000
31892460,3,1875
31892461,5,1500
31892462,5,500
31892462,2,875
31892463,5,500
31892463,2,625
31892463,1,625
31892464,1,6250
31892465,2,3125
31892476,5,1500
31892477,5,1000
30237176,2,1875
30237177,2,1250
30237178,1,8750
30237179,1,25000
30237180,1,6250
30237181,5,1800
30237182,5,1800
30237183,5,1000
30237185,5,2000
30237186,5,1000
30237187,5,100
1650451,1,700
1650451,2,750
1650451,23,30
1650452,1,150
1650452,2,300
1650452,23,10
1650453,1,200
1650453,2,300
1650453,23,10
1650454,1,450
1650454,2,450
1650454,5,40
1650454,3,30
1650454,23,10
1650454,9,40
30237190,5,100
1650455,1,150
1650455,23,15
1650456,1,150
1650456,2,300
1650456,23,10
30237203,5,3000
30237204,5,3100
30237205,5,2000
30237206,5,5700
30237207,5,5000
30237208,5,4000
1650457,1,300
1650457,2,400
1650457,5,30
1650457,23,15
30237209,5,6000
30237210,5,1000
1650458,1,200
1650458,2,300
1650458,23,15
1651551,1,625
1651552,1,1875
1651553,1,2500
1651554,1,1250
1651555,1,625
1651556,1,625
1651557,1,625
1651558,1,625
1651559,1,1250
1651560,1,625
1651561,2,875
1651562,2,625
1651563,2,875
32702527,1,1875
32702528,1,1250
32702529,1,3125
32702530,1,1875
32702531,1,1875
32702532,1,1875
32702533,1,3125
32702534,1,1250
32702535,1,1250
32702536,1,1000
32203010,1,375
32203011,1,375
32203011,5,300
32203012,2,375
32203014,1,2250
32203014,2,375
32203026,9,375
32203027,9,1125
32203028,9,1875
32203029,23,375
32203029,9,375
32203030,1,2250
32203031,1,3000
32203032,2,1500
32203032,23,375
32203033,1,8250
32203034,1,4500
32203035,9,1125
32203036,9,1125
32203037,2,375
32203037,9,2250
32203052,2,1125
32203053,2,750
32203054,1,1500
32203054,2,375
32203054,3,375
32203055,1,1125
32203055,2,750
32203056,1,1500
32203056,2,750
32203056,5,300
32203057,1,750
32203058,1,1125
32203058,2,750
32203059,1,1500
32203059,2,750
32203059,5,300
32203060,1,750
32203060,2,1125
32203061,1,750
32203061,2,1875
32203062,1,1125
32203062,2,1125
32203063,1,375
32203063,2,375
32203063,5,300
32203064,1,375
32203064,2,375
32203064,5,300
32203065,1,375
32203065,9,375
32203076,9,750
32203077,1,375
32203077,23,375
32203077,9,1125
32203078,1,3375
32203078,9,375
32203079,1,3750
32203081,1,2250
32203082,1,750
32203082,3,375
32203082,23,375
32203082,9,750
1652026,1,500
1652026,2,375
1652026,3,1
1652026,5,300
1652027,1,1250
1652027,2,4750
1652027,3,63
1652028,1,438
1652028,2,1063
1652029,1,438
1652029,2,1063
1652029,3,125
1652029,5,200
1652030,1,375
1652030,2,1063
1652030,3,63
1652030,5,250
1652030,6,63
1652031,1,313
1652031,2,688
1652031,3,63
1652031,5,250
1652032,1,938
1652032,2,1500
1652032,3,63
1652032,5,200
1652032,6,63
1652033,1,875
1652033,2,4563
1652033,3,63
1652033,5,300
1652034,1,688
1652034,2,2313
1652034,5,150
1652035,1,563
1652035,2,3625
1652035,3,63
1652035,5,550
1652036,1,750
1652036,2,2500
1652037,1,625
1652037,2,1313
1652037,5,450
1652037,6,63
1652038,1,125
1652038,2,2250
1652038,3,63
1652038,5,250
1652039,1,125
1652039,2,1000
1652039,5,1600
1652039,6,63
1652051,5,500
1652051,1,1000
1652051,2,563
1652051,3,63
1652051,6,63
1652052,5,250
1652052,1,63
1652052,2,188
1652052,3,938
1652053,5,200
1652053,2,63
